Id,LotFrontage,LotArea,Alley,LotShape,LotConfig,Neighborhood,Condition1,BldgType,OverallQual,RoofStyle,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,Fence,SalePrice,HouseAge,RecentRemodel,TotalPorchSF,TotalBathAbGr,TotalFinSF,BsmtBath
136,80.0,10400,0,1,1,0,2,0,3,0,1,288.0,2,1,2,2,1,1304,3,1,1682,2,7,1,3,3,530,2,2,1,98,1,174000,38,38,0,2.0,1682,0
1453,35.0,3675,0,1,1,1,2,1,2,1,1,80.0,2,1,3,2,3,547,3,1,1072,2,5,0,0,1,525,2,2,1,0,0,145000,1,1,28,1.0,1619,1
763,72.0,8640,0,1,1,0,2,0,3,1,0,0.0,2,1,3,2,1,756,4,1,1547,3,7,0,0,3,614,2,2,1,169,0,215200,1,1,45,2.5,1571,0
933,84.0,11670,0,0,2,0,0,0,4,0,1,302.0,4,1,4,3,1,1905,4,1,1905,4,8,1,3,3,788,2,2,1,0,0,320000,1,1,191,2.0,1905,0
436,43.0,10667,0,0,0,2,2,0,3,1,0,0.0,3,1,3,2,2,799,4,1,1661,3,6,1,2,3,550,2,2,1,158,0,212000,13,13,61,2.5,2390,1
630,82.0,9020,0,1,2,0,1,0,2,1,1,259.0,2,0,2,2,3,1248,2,1,1350,2,6,0,0,3,520,2,2,1,176,1,168500,44,44,0,1.5,2310,1
1211,70.0,11218,0,1,1,1,2,0,2,1,0,0.0,3,1,3,2,1,1055,4,1,1845,3,8,1,2,3,462,2,2,1,635,1,189000,18,18,104,2.5,1845,0
1119,85.0,13825,0,1,1,1,2,0,2,1,0,0.0,2,0,2,2,1,533,2,1,1601,2,6,0,0,1,300,2,2,1,280,0,140000,50,21,34,1.0,1601,1
1085,0.0,13031,0,0,2,0,2,0,2,1,0,0.0,2,1,3,2,1,691,3,1,1498,2,6,1,2,3,409,2,2,1,315,0,187500,11,10,44,2.5,2090,0
159,100.0,12552,0,1,2,0,2,0,3,1,0,0.0,3,1,3,2,1,991,4,1,1947,3,8,1,3,3,678,2,2,1,0,1,254900,6,5,136,2.5,2169,0
968,0.0,7390,0,0,1,0,2,0,2,0,1,151.0,2,0,2,2,1,1098,2,1,1098,2,6,0,0,3,260,2,2,1,0,0,135000,53,53,0,1.0,2000,1
1260,65.0,9750,0,1,2,0,2,0,2,1,0,0.0,2,0,3,2,1,1054,3,1,1054,2,6,0,0,3,460,2,2,1,180,0,151000,39,39,80,1.5,2094,1
552,50.0,6000,0,1,1,3,2,0,2,0,0,0.0,2,0,2,2,1,928,3,1,928,2,5,0,0,3,288,2,2,1,0,0,112500,51,51,0,1.0,1236,0
498,60.0,9120,1,1,1,3,2,0,3,1,0,0.0,2,1,2,2,1,1026,4,1,1820,2,8,0,0,2,240,2,2,0,0,1,184000,83,58,100,2.0,2149,1
1032,102.0,15863,0,1,2,2,2,0,3,1,0,0.0,2,0,2,2,1,824,4,1,3082,2,12,1,2,1,672,2,2,1,136,0,197000,89,39,63,2.5,3208,1
1263,0.0,11250,0,1,1,0,2,0,1,1,0,0.0,2,0,2,2,2,1104,4,1,1788,2,8,1,2,3,304,2,2,1,120,0,161500,52,20,0,1.0,1788,1
1014,60.0,7200,0,1,1,3,2,0,2,0,0,0.0,2,0,2,2,1,1022,2,0,1022,2,4,0,0,2,280,2,2,1,0,0,85000,99,3,256,1.0,1734,1
